-0.0421196  0.0349612 -0.0894093
  0.111331 0.00236401  0.0989434
  0.111321 0.00236363  0.0989339
   0.11131 0.00236324  0.0989245
    0.1113 0.00236286  0.0989151
  0.111289 0.00236247  0.0989058
  0.111279 0.00236209  0.0988965
  0.111269 0.00236171  0.0988873
  0.111259 0.00236133   0.098878
  0.111248 0.00236096  0.0988689
  0.111238 0.00236058  0.0988597
  0.111228 0.00236021  0.0988506
  0.111218 0.00235983  0.0988416
  0.111208 0.00235946  0.0988325
  0.111198 0.00235909  0.0988236
  0.111188 0.00235872  0.0988146
  0.111178 0.00235835  0.0988057
  0.111169 0.00235799  0.0987968
  0.111159 0.00235762   0.098788
  0.111149 0.00235726  0.0987792
 0.111139 0.0023569 0.0987704
   0.11113 0.00235654  0.0987617
   0.11112 0.00235618   0.098753
   0.11111 0.00235582  0.0987444
  0.111101 0.00235546  0.0987358
  0.111091 0.00235511  0.0987272
  0.111082 0.00235475  0.0987186
 0.111072 0.0023544 0.0987101
  0.111063 0.00235405  0.0987017
 0.111054 0.0023537 0.0986932
  0.111044 0.00235335  0.0986848
 0.111035  0.002353 0.0986765
  0.111026 0.00235265  0.0986681
  0.111017 0.00235231  0.0986598
  0.111007 0.00235196  0.0986516
  0.110998 0.00235162  0.0986433
  0.110989 0.00235128  0.0986352
   0.11098 0.00235094   0.098627
 0.110971 0.0023506 0.0986189
  0.110962 0.00235026  0.0986108
  0.110953 0.00234992  0.0986027
  0.110944 0.00234959  0.0985947
  0.110935 0.00234925  0.0985867
  0.110927 0.00234892  0.0985787
  0.110918 0.00234859  0.0985708
  0.110909 0.00234826  0.0985629
    0.1109 0.00234793  0.0985551
 0.110892 0.0023476 0.0985472
  0.110883 0.00234727  0.0985395
  0.110875 0.00234694  0.0985317
  0.110866 0.00234662   0.098524
  0.110857 0.00234629  0.0985163
  0.110849 0.00234597  0.0985086
   0.11084 0.00234565   0.098501
  0.110832 0.00234533  0.0984934
  0.110824 0.00234501  0.0984858
  0.110815 0.00234469  0.0984782
  0.110807 0.00234438  0.0984707
  0.110799 0.00234406  0.0984633
   0.11079 0.00234375  0.0984558
  0.110782 0.00234343  0.0984484
  0.110774 0.00234312   0.098441
  0.110766 0.00234281  0.0984337
 0.110758 0.0023425 0.0984263
   0.11075 0.00234219   0.098419
  0.110742 0.00234188  0.0984118
  0.110734 0.00234157  0.0984045
  0.110726 0.00234127  0.0983973
  0.110718 0.00234096  0.0983901
   0.11071 0.00234066   0.098383
  0.110702 0.00234036  0.0983759
  0.110694 0.00234006  0.0983688
  0.110686 0.00233976  0.0983617
  0.110678 0.00233946  0.0983547
  0.110671 0.00233916  0.0983477
  0.110663 0.00233886  0.0983407
  0.110655 0.00233856  0.0983338
  0.110648 0.00233827  0.0983268
   0.11064 0.00233797  0.0983199
  0.110632 0.00233768  0.0983131
  0.110625 0.00233739  0.0983063
 0.110617 0.0023371 0.0982994
   0.11061 0.00233681  0.0982927
  0.110602 0.00233652  0.0982859
  0.110595 0.00233623  0.0982792
  0.110587 0.00233594  0.0982725
   0.11058 0.00233566  0.0982658
  0.110573 0.00233537  0.0982592
  0.110565 0.00233509  0.0982526
  0.110558 0.00233481   0.098246
  0.110551 0.00233452  0.0982394
  0.110544 0.00233424  0.0982329
  0.110536 0.00233396  0.0982264
  0.110529 0.00233368  0.0982199
  0.110522 0.00233341  0.0982134
  0.110515 0.00233313   0.098207
  0.110508 0.00233285  0.0982006
  0.110501 0.00233258  0.0981942
 0.110494 0.0023323 0.0981878
  0.110487 0.00233203  0.0981815
   0.11048 0.00233176  0.0981752
  0.110473 0.00233149  0.0981689
  0.110466 0.00233122  0.0981627
  0.110459 0.00233095  0.0981564
  0.110452 0.00233068  0.0981502
  0.110445 0.00233041  0.0981441
  0.110439 0.00233014  0.0981379
  0.110432 0.00232988  0.0981318
  0.110425 0.00232961  0.0981257
  0.110418 0.00232935  0.0981196
  0.110412 0.00232909  0.0981135
  0.110405 0.00232882  0.0981075
  0.110398 0.00232856  0.0981015
 0.110392 0.0023283 0.0980955
  0.110385 0.00232804  0.0980895
  0.110378 0.00232778  0.0980836
  0.110372 0.00232753  0.0980777
  0.110365 0.00232727  0.0980718
  0.110359 0.00232701  0.0980659
  0.110352 0.00232676  0.0980601
 0.110346 0.0023265 0.0980543
   0.11034 0.00232625  0.0980485
 0.110333  0.002326 0.0980427
  0.110327 0.00232575  0.0980369
 0.110321 0.0023255 0.0980312
  0.110314 0.00232525  0.0980255
 0.110308  0.002325 0.0980198
  0.110302 0.00232475  0.0980142
 0.110295 0.0023245 0.0980085
  0.110289 0.00232426  0.0980029
  0.110283 0.00232401  0.0979973
  0.110277 0.00232377  0.0979918
  0.110271 0.00232352  0.0979862
  0.110265 0.00232328  0.0979807
  0.110259 0.00232304  0.0979752
 0.110253 0.0023228 0.0979697
  0.110247 0.00232255  0.0979642
   0.11024 0.00232232  0.0979588
  0.110234 0.00232208  0.0979534
  0.110229 0.00232184   0.097948
 0.110223 0.0023216 0.0979426
  0.110217 0.00232136  0.0979372
  0.110211 0.00232113  0.0979319
  0.110205 0.00232089  0.0979266
  0.110199 0.00232066  0.0979213
  0.110193 0.00232043   0.097916
  0.110187 0.00232019  0.0979107
  0.110182 0.00231996  0.0979055
  0.110176 0.00231973  0.0979003
  0.11017 0.0023195 0.0978951
  0.110164 0.00231927  0.0978899
  0.110159 0.00231904  0.0978848
  0.110153 0.00231881  0.0978797
  0.110147 0.00231859  0.0978745
  0.110142 0.00231836  0.0978695
  0.110136 0.00231814  0.0978644
  0.110131 0.00231791  0.0978593
  0.110125 0.00231769  0.0978543
   0.11012 0.00231746  0.0978493
  0.110114 0.00231724  0.0978443
  0.110109 0.00231702  0.0978393
 0.110103 0.0023168 0.0978344
  0.110098 0.00231658  0.0978294
  0.110092 0.00231636  0.0978245
  0.110087 0.00231614  0.0978196
  0.110081 0.00231592  0.0978147
 0.110076 0.0023157 0.0978099
  0.110071 0.00231549   0.097805
  0.110065 0.00231527  0.0978002
   0.11006 0.00231506  0.0977954
  0.110055 0.00231484  0.0977906
   0.11005 0.00231463  0.0977859
  0.110044 0.00231442  0.0977811
 0.110039 0.0023142 0.0977764
  0.110034 0.00231399  0.0977717
  0.110029 0.00231378   0.097767
  0.110024 0.00231357  0.0977623
  0.110018 0.00231336  0.0977577
  0.110013 0.00231315   0.097753
  0.110008 0.00231294  0.0977484
  0.110003 0.00231274  0.0977438
  0.109998 0.00231253  0.0977392
  0.109993 0.00231232  0.0977346
  0.109988 0.00231212  0.0977301
  0.109983 0.00231191  0.0977255
  0.109978 0.00231171   0.097721
  0.109973 0.00231151  0.0977165
 0.109968 0.0023113 0.0977121
 0.109963 0.0023111 0.0977076
 0.109958 0.0023109 0.0977031
 0.109953 0.0023107 0.0976987
 0.109949 0.0023105 0.0976943
 0.109944 0.0023103 0.0976899
 0.109939 0.0023101 0.0976855
 0.109934 0.0023099 0.0976812
  0.109929 0.00230971  0.0976768
  0.109924 0.00230951  0.0976725
   0.10992 0.00230931  0.0976682
  0.109915 0.00230912  0.0976639
   0.10991 0.00230892  0.0976596
  0.109906 0.00230873  0.0976553
  0.109901 0.00230854  0.0976511
  0.109896 0.00230834  0.0976468
  0.109892 0.00230815  0.0976426
  0.109887 0.00230796  0.0976384
  0.109882 0.00230777  0.0976342
  0.109878 0.00230758  0.0976301
  0.109873 0.00230739  0.0976259
 0.109869 0.0023072 0.0976218
  0.109864 0.00230701  0.0976177
  0.109859 0.00230682  0.0976135
  0.109855 0.00230664  0.0976095
   0.10985 0.00230645  0.0976054
  0.109846 0.00230626  0.0976013
  0.109842 0.00230608  0.0975973
  0.109837 0.00230589  0.0975932
  0.109833 0.00230571  0.0975892
  0.109828 0.00230553  0.0975852
  0.109824 0.00230534  0.0975813
   0.10982 0.00230516  0.0975773
  0.109815 0.00230498  0.0975733
 0.109811 0.0023048 0.0975694
  0.109807 0.00230462  0.0975655
  0.109802 0.00230444  0.0975616
  0.109798 0.00230426  0.0975577
  0.109794 0.00230408  0.0975538
 0.109789 0.0023039 0.0975499
  0.109785 0.00230372  0.0975461
  0.109781 0.00230355  0.0975422
  0.109777 0.00230337  0.0975384
  0.109773 0.00230319  0.0975346
  0.109768 0.00230302  0.0975308
  0.109764 0.00230284   0.097527
   0.10976 0.00230267  0.0975232
 0.109756 0.0023025 0.0975195
  0.109752 0.00230232  0.0975158
  0.109748 0.00230215   0.097512
  0.109744 0.00230198  0.0975083
   0.10974 0.00230181  0.0975046
  0.109735 0.00230164  0.0975009
  0.109731 0.00230147  0.0974973
 0.109727 0.0023013 0.0974936
  0.109723 0.00230113    0.09749
  0.109719 0.00230096  0.0974864
  0.109715 0.00230079  0.0974827
  0.109711 0.00230062  0.0974791
  0.109707 0.00230046  0.0974755
  0.109704 0.00230029   0.097472
    0.1097 0.00230012  0.0974684
  0.109696 0.00229996  0.0974649
  0.109692 0.00229979  0.0974613
  0.109688 0.00229963  0.0974578
  0.109684 0.00229947  0.0974543
  0.10968 0.0022993 0.0974508
  0.109676 0.00229914  0.0974473
  0.109673 0.00229898  0.0974438
  0.109669 0.00229882  0.0974404
  0.109665 0.00229865  0.0974369
  0.109661 0.00229849  0.0974335
  0.109657 0.00229833  0.0974301
  0.109654 0.00229817  0.0974267
   0.10965 0.00229802  0.0974233
  0.109646 0.00229786  0.0974199
 0.109643 0.0022977 0.0974165
  0.109639 0.00229754  0.0974132
  0.109635 0.00229738  0.0974098
  0.109631 0.00229723  0.0974065
  0.109628 0.00229707  0.0974032
  0.109624 0.00229692  0.0973999
  0.109621 0.00229676  0.0973966
  0.109617 0.00229661  0.0973933
  0.109613 0.00229645    0.09739
  0.10961 0.0022963 0.0973868
  0.109606 0.00229614  0.0973835
  0.109603 0.00229599  0.0973803
  0.109599 0.00229584   0.097377
  0.109596 0.00229569  0.0973738
  0.109592 0.00229554  0.0973706
  0.109589 0.00229539  0.0973674
  0.109585 0.00229524  0.0973643
  0.109582 0.00229509  0.0973611
  0.109578 0.00229494  0.0973579
  0.109575 0.00229479  0.0973548
  0.109571 0.00229464  0.0973517
  0.109568 0.00229449  0.0973485
  0.109564 0.00229435  0.0973454
 0.109561 0.0022942 0.0973423
  0.109558 0.00229405  0.0973392
  0.109554 0.00229391  0.0973362
  0.109551 0.00229376  0.0973331
  0.109547 0.00229362  0.0973301
  0.109544 0.00229347   0.097327
  0.109541 0.00229333   0.097324
  0.109537 0.00229318   0.097321
  0.109534 0.00229304   0.097318
 0.109531 0.0022929  0.097315
  0.109528 0.00229275   0.097312
  0.109524 0.00229261   0.097309
  0.109521 0.00229247   0.097306
  0.109518 0.00229233  0.0973031
  0.109515 0.00229219  0.0973001
  0.109511 0.00229205  0.0972972
  0.109508 0.00229191  0.0972943
  0.109505 0.00229177  0.0972913
  0.109502 0.00229163  0.0972884
  0.109499 0.00229149  0.0972856
  0.109495 0.00229136  0.0972827
  0.109492 0.00229122  0.0972798
  0.109489 0.00229108  0.0972769
  0.109486 0.00229094  0.0972741
  0.109483 0.00229081  0.0972712
   0.10948 0.00229067  0.0972684
  0.109477 0.00229054  0.0972656
 0.109473 0.0022904 0.0972628
   0.10947 0.00229027    0.09726
  0.109467 0.00229013  0.0972572
 0.109464   0.00229 0.0972544
  0.109461 0.00228987  0.0972516
  0.109458 0.00228973  0.0972489
 0.109455 0.0022896 0.0972461
  0.109452 0.00228947  0.0972434
  0.109449 0.00228934  0.0972407
  0.109446 0.00228921  0.0972379
  0.109443 0.00228908  0.0972352
   0.10944 0.00228895  0.0972325
  0.109437 0.00228882  0.0972298
  0.109434 0.00228869  0.0972271
  0.109431 0.00228856  0.0972245
  0.109428 0.00228843  0.0972218
 0.109426 0.0022883 0.0972192
  0.109423 0.00228817  0.0972165
   0.10942 0.00228804  0.0972139
  0.109417 0.00228792  0.0972113
  0.109414 0.00228779  0.0972086
  0.109411 0.00228766   0.097206
  0.109408 0.00228754  0.0972034
  0.109405 0.00228741  0.0972008
  0.109403 0.00228729  0.0971983
    0.1094 0.00228716  0.0971957
  0.109397 0.00228704  0.0971931
  0.109394 0.00228692  0.0971906
  0.109391 0.00228679   0.097188
  0.109389 0.00228667  0.0971855
  0.109386 0.00228655   0.097183
  0.109383 0.00228642  0.0971805
  0.10938 0.0022863 0.0971779
  0.109378 0.00228618  0.0971754
  0.109375 0.00228606   0.097173
  0.109372 0.00228594  0.0971705
  0.109369 0.00228582   0.097168
 0.109367 0.0022857 0.0971655
  0.109364 0.00228558  0.0971631
  0.109361 0.00228546  0.0971606
  0.109359 0.00228534  0.0971582
  0.109356 0.00228522  0.0971558
 0.109353 0.0022851 0.0971533
  0.109351 0.00228498  0.0971509
  0.109348 0.00228487  0.0971485
  0.109345 0.00228475  0.0971461
  0.109343 0.00228463  0.0971437
   0.10934 0.00228451  0.0971414
 0.109338 0.0022844  0.097139
  0.109335 0.00228428  0.0971366
  0.109332 0.00228417  0.0971343
   0.10933 0.00228405  0.0971319
  0.109327 0.00228394  0.0971296
  0.109325 0.00228382  0.0971273
  0.109322 0.00228371  0.0971249
  0.10932 0.0022836 0.0971226
  0.109317 0.00228348  0.0971203
  0.109315 0.00228337   0.097118
  0.109312 0.00228326  0.0971157
   0.10931 0.00228314  0.0971134
  0.109307 0.00228303  0.0971112
  0.109305 0.00228292  0.0971089
  0.109302 0.00228281  0.0971066
   0.1093 0.0022827 0.0971044
  0.109297 0.00228259  0.0971022
  0.109295 0.00228248  0.0970999
  0.109292 0.00228237  0.0970977
   0.10929 0.00228226  0.0970955
  0.109287 0.00228215  0.0970933
  0.109285 0.00228204  0.0970911
  0.109283 0.00228193  0.0970889
   0.10928 0.00228182  0.0970867
  0.109278 0.00228172  0.0970845
  0.109275 0.00228161  0.0970823
 0.109273 0.0022815 0.0970802
  0.109271 0.00228139   0.097078
  0.109268 0.00228129  0.0970758
  0.109266 0.00228118  0.0970737
  0.109264 0.00228107  0.0970716
  0.109261 0.00228097  0.0970694
  0.109259 0.00228086  0.0970673
  0.109257 0.00228076  0.0970652
  0.109254 0.00228065  0.0970631
  0.109252 0.00228055   0.097061
   0.10925 0.00228045  0.0970589
  0.109247 0.00228034  0.0970568
  0.109245 0.00228024  0.0970547
  0.109243 0.00228014  0.0970527
  0.109241 0.00228003  0.0970506
  0.109238 0.00227993  0.0970485
  0.109236 0.00227983  0.0970465
  0.109234 0.00227973  0.0970445
  0.109232 0.00227962  0.0970424
  0.109229 0.00227952  0.0970404
  0.109227 0.00227942  0.0970384
  0.109225 0.00227932  0.0970364
  0.109223 0.00227922  0.0970343
  0.109221 0.00227912  0.0970323
  0.109218 0.00227902  0.0970303
  0.109216 0.00227892  0.0970284
  0.109214 0.00227882  0.0970264
  0.109212 0.00227872  0.0970244
   0.10921 0.00227863  0.0970224
  0.109208 0.00227853  0.0970205
  0.109206 0.00227843  0.0970185
  0.109203 0.00227833  0.0970166
  0.109201 0.00227824  0.0970146
  0.109199 0.00227814  0.0970127
  0.109197 0.00227804  0.0970108
  0.109195 0.00227795  0.0970089
  0.109193 0.00227785  0.0970069
  0.109191 0.00227775   0.097005
  0.109189 0.00227766  0.0970031
  0.109187 0.00227756  0.0970012
  0.109185 0.00227747  0.0969993
  0.109182 0.00227737  0.0969975
   0.10918 0.00227728  0.0969956
  0.109178 0.00227718  0.0969937
  0.109176 0.00227709  0.0969919
0.109174 0.002277  0.09699
 0.109172 0.0022769 0.0969881
   0.10917 0.00227681  0.0969863
  0.109168 0.00227672  0.0969845
  0.109166 0.00227663  0.0969826
  0.109164 0.00227653  0.0969808
  0.109162 0.00227644   0.096979
   0.10916 0.00227635  0.0969772
  0.109158 0.00227626  0.0969754
  0.109156 0.00227617  0.0969736
  0.109154 0.00227608  0.0969718
  0.109152 0.00227599    0.09697
  0.10915 0.0022759 0.0969682
  0.109148 0.00227581  0.0969664
  0.109147 0.00227572  0.0969646
  0.109145 0.00227563  0.0969629
  0.109143 0.00227554  0.0969611
  0.109141 0.00227545  0.0969594
  0.109139 0.00227536  0.0969576
  0.109137 0.00227527  0.0969559
  0.109135 0.00227518  0.0969541
 0.109133 0.0022751 0.0969524
  0.109131 0.00227501  0.0969507
  0.109129 0.00227492   0.096949
  0.109128 0.00227483  0.0969473
  0.109126 0.00227475  0.0969455
  0.109124 0.00227466  0.0969438
  0.109122 0.00227458  0.0969422
   0.10912 0.00227449  0.0969405
 0.109118 0.0022744 0.0969388
  0.109116 0.00227432  0.0969371
  0.109115 0.00227423  0.0969354
  0.109113 0.00227415  0.0969338
  0.109111 0.00227406  0.0969321
  0.109109 0.00227398  0.0969304
  0.109107 0.00227389  0.0969288
  0.109106 0.00227381  0.0969271
  0.109104 0.00227373  0.0969255
  0.109102 0.00227364  0.0969239
    0.1091 0.00227356  0.0969222
  0.109098 0.00227348  0.0969206
  0.109097 0.00227339   0.096919
  0.109095 0.00227331  0.0969174
  0.109093 0.00227323  0.0969158
  0.109091 0.00227315  0.0969142
   0.10909 0.00227307  0.0969126
  0.109088 0.00227298   0.096911
 0.109086 0.0022729 0.0969094
  0.109084 0.00227282  0.0969078
